#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     5.1089698E-002         1.7520912E+003         1.6617121E+003         1.9046768E+003         2.1808745E+003         1.9325056E+003         1.9725200E+002         1.7143154E+003         1.6609286E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-002         1.7483416E+003         1.6583430E+003         1.9002376E+003         2.1743497E+003         1.9273586E+003         1.9668329E+002         1.7085033E+003         1.6554785E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-002         1.7446083E+003         1.6549877E+003         1.8958193E+003         2.1678645E+003         1.9222393E+003         1.9611791E+002         1.7027313E+003         1.6500647E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-002         1.7408910E+003         1.6516461E+003         1.8914218E+003         2.1614184E+003         1.9171475E+003         1.9555581E+002         1.6969988E+003         1.6446868E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-002         1.7371897E+003         1.6483181E+003         1.8870448E+003         2.1550112E+003         1.9120830E+003         1.9499698E+002         1.6913054E+003         1.6393444E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-002         1.7335043E+003         1.6450036E+003         1.8826884E+003         2.1486424E+003         1.9070456E+003         1.9444138E+002         1.6856509E+003         1.6340373E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-002         1.7298346E+003         1.6417026E+003         1.8783522E+003         2.1423118E+003         1.9020350E+003         1.9388899E+002         1.6800347E+003         1.6287650E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-002         1.7261807E+003         1.6384150E+003         1.8740363E+003         2.1360189E+003         1.8970510E+003         1.9333977E+002         1.6744564E+003         1.6235272E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-002         1.7226166E+003         1.6352074E+003         1.8698280E+003         2.1298911E+003         1.8921947E+003         1.9280485E+002         1.6690288E+003         1.6184297E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-002         1.7190674E+003         1.6320126E+003         1.8656389E+003         2.1237989E+003         1.8873635E+003         1.9227292E+002         1.6636368E+003         1.6133647E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-002         1.7155329E+003         1.6288304E+003         1.8614687E+003         2.1177420E+003         1.8825572E+003         1.9174397E+002         1.6582801E+003         1.6083318E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-002         1.7120131E+003         1.6256607E+003         1.8573173E+003         2.1117201E+003         1.8777757E+003         1.9121796E+002         1.6529585E+003         1.6033307E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-002         1.7085079E+003         1.6225034E+003         1.8531847E+003         2.1057329E+003         1.8730188E+003         1.9069487E+002         1.6476715E+003         1.5983612E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-002         1.7050171E+003         1.6193585E+003         1.8490706E+003         2.0997801E+003         1.8682862E+003         1.9017467E+002         1.6424188E+003         1.5934229E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-002         1.7015408E+003         1.6162259E+003         1.8449749E+003         2.0938613E+003         1.8635778E+003         1.8965736E+002         1.6372001E+003         1.5885155E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-002         1.6980788E+003         1.6131055E+003         1.8408976E+003         2.0879764E+003         1.8588934E+003         1.8914288E+002         1.6320150E+003         1.5836388E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-002         1.6946309E+003         1.6099972E+003         1.8368385E+003         2.0821249E+003         1.8542329E+003         1.8863124E+002         1.6268632E+003         1.5787925E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-002         1.6911973E+003         1.6069011E+003         1.8327975E+003         2.0763067E+003         1.8495959E+003         1.8812240E+002         1.6217444E+003         1.5739762E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-003         1.6877313E+003         1.6037752E+003         1.8287200E+003         2.0704431E+003         1.8449200E+003         1.8760948E+002         1.6165895E+003         1.5691250E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-003         1.6842797E+003         1.6006616E+003         1.8246608E+003         2.0646130E+003         1.8402680E+003         1.8709940E+002         1.6114678E+003         1.5643040E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-003         1.6808424E+003         1.5975602E+003         1.8206197E+003         2.0588162E+003         1.8356398E+003         1.8659213E+002         1.6063791E+003         1.5595131E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-003         1.6774191E+003         1.5944708E+003         1.8165968E+003         2.0530523E+003         1.8310350E+003         1.8608764E+002         1.6013229E+003         1.5547520E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-003         1.6740100E+003         1.5913936E+003         1.8125918E+003         2.0473212E+003         1.8264537E+003         1.8558591E+002         1.5962990E+003         1.5500203E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-003         1.6706149E+003         1.5883283E+003         1.8086047E+003         2.0416224E+003         1.8218955E+003         1.8508692E+002         1.5913070E+003         1.5453178E+003         1.2301275E+002         1.0277970E+002
     5.1089698E-003         1.6672336E+003         1.5852749E+003         1.8046352E+003         2.0359557E+003         1.8173603E+003         1.8459064E+002         1.5863467E+003         1.5406442E+003         1.2301275E+002         1.0277970E+002
     4.6415888E-003         1.6638662E+003         1.5822334E+003         1.8006834E+003         2.0303208E+003         1.8128479E+003         1.8409706E+002         1.5814177E+003         1.5359993E+003         1.2301275E+002         1.0277970E+002
     4.2169650E-003         1.6605124E+003         1.5792037E+003         1.7967490E+003         2.0247176E+003         1.8083582E+003         1.8360615E+002         1.5765198E+003         1.5313827E+003         1.2301275E+002         1.0277970E+002
     3.8311868E-003         1.6571724E+003         1.5761856E+003         1.7928320E+003         2.0191456E+003         1.8038910E+003         1.8311788E+002         1.5716527E+003         1.5267942E+003         1.2301275E+002         1.0277970E+002
     3.4807006E-003         1.6537772E+003         1.5731172E+003         1.7888518E+003         2.0134905E+003         1.7993544E+003         1.8262224E+002         1.5667163E+003         1.5221397E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-003         1.6503961E+003         1.5700608E+003         1.7848895E+003         2.0078674E+003         1.7948409E+003         1.8212930E+002         1.5618114E+003         1.5175139E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-003         1.6470290E+003         1.5670164E+003         1.7809449E+003         2.0022761E+003         1.7903503E+003         1.8163906E+002         1.5569376E+003         1.5129166E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-003         1.6436757E+003         1.5639838E+003         1.7770178E+003         1.9967164E+003         1.7858824E+003         1.8115149E+002         1.5520947E+003         1.5083475E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-003         1.6403362E+003         1.5609632E+003         1.7731083E+003         1.9911878E+003         1.7814371E+003         1.8066657E+002         1.5472823E+003         1.5038063E+003         1.2301275E+002         1.0277970E+002
