#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     4.6415888E+000     7.2857673E-005     2.5373535E-016         1.8644191E-009         1.5134963E-010         3.8848242E-008         1.0301730E-007         7.4833007E-007         0.0000000E+000         2.4214976E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.2285695E-004     1.7861393E+003     2.0216630E-008
     4.2169650E+000     6.6192112E-005     3.0473215E-016         1.7805844E-009         1.4496108E-010         3.7346519E-008         1.3011376E-007         6.7660194E-007         0.0000000E+000         1.9797426E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.1250096E-004     1.7861392E+003     2.3517263E-008
     3.8311868E+000     6.0136366E-005     3.6483077E-016         1.6942075E-009         1.3839437E-010         3.5810785E-008         1.5645672E-007         6.0644455E-007         0.0000000E+000         1.6183393E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.0308885E-004     1.7861391E+003     2.7309315E-008
     3.4807006E+000     5.4634644E-005     4.3548588E-016         1.6049770E-009         1.3161840E-010         3.4231981E-008         1.8142624E-007         5.3876071E-007         0.0000000E+000         1.3226751E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     9.4525156E-005     1.7861390E+003     3.1657809E-008
     3.1622777E+000     4.9636261E-005     5.1836975E-016         1.5127280E-009         1.2461069E-010         3.2602242E-008         2.0443064E-007         4.7440415E-007         0.0000000E+000         1.0807744E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     8.6725943E-005     1.7861390E+003     3.6635060E-008
     2.8729848E+000     4.5095166E-005     6.1574978E-016         1.4172955E-009         1.1734561E-010         3.0911822E-008         2.2495350E-007         4.1402480E-007         0.0000000E+000         8.8259663E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     7.9596445E-005     1.7861389E+003     4.2321200E-008
     2.6101572E+000     4.0969524E-005     7.2959139E-016         1.3190969E-009         1.0984076E-010         2.9160544E-008         2.4256591E-007         3.5827444E-007         0.0000000E+000         7.2040478E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     7.3093030E-005     1.7861389E+003     4.8805082E-008
     2.3713737E+000     3.7221327E-005     8.6248145E-016         1.2185578E-009         1.0211233E-010         2.7346796E-008         2.5697293E-007         3.0748639E-007         0.0000000E+000         5.8755174E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.7151546E-005     1.7861389E+003     5.6184709E-008
     2.1544347E+000     3.3816042E-005     1.0174058E-015         1.1162976E-009         9.4190910E-011         2.5471688E-008         2.6799850E-007         2.6177777E-007         0.0000000E+000         4.7859015E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     6.1712532E-005     1.7861389E+003     6.4567986E-008
     1.9573418E+000     3.0722299E-005     1.1978103E-015         1.0130930E-009         8.6120203E-011         2.3539061E-008         2.7556625E-007         2.2107237E-007         0.0000000E+000         3.8906377E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     5.6720376E-005     1.7861388E+003     7.4073414E-008
     1.7782794E+000     2.7911594E-005     1.4076689E-015         9.0983666E-010         7.7955202E-011         2.1555491E-008         2.7966610E-007         1.8514428E-007         0.0000000E+000         3.1534498E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     5.2122999E-005     1.7861388E+003     8.4830788E-008
     1.6155981E+000     2.5358033E-005     1.6515558E-015         8.0750229E-010         6.9760938E-011         1.9530455E-008         2.8031442E-007         1.5367015E-007         0.0000000E+000         2.5450203E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.7871839E-005     1.7861388E+003     9.6981893E-008
     1.4677993E+000     2.3038091E-005     1.9347223E-015         7.0712821E-010         6.1612435E-011         1.7476879E-008         2.7751511E-007         1.2627952E-007         0.0000000E+000         2.0418639E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.3921975E-005     1.7861388E+003     1.1068119E-007
     1.3335214E+000     2.0930395E-005     2.2631729E-015         6.0980904E-010         5.3595248E-011         1.5411924E-008         2.7122924E-007         1.0259300E-007         0.0000000E+000         1.6252946E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     4.0232022E-005     1.7861387E+003     1.2609650E-007
     1.2115277E+000     1.9015527E-005     2.6437428E-015         5.1665897E-010         4.5803450E-011         1.3357220E-008         2.6135600E-007         8.2240696E-008         0.0000000E+000         1.2803963E-009         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.6763140E-005     1.7861387E+003     1.4340960E-007
     1.1006942E+000     1.7275796E-005     3.0857357E-015         4.2864875E-010         3.8326171E-011         1.1335860E-008         2.4769081E-007         6.4851791E-008         0.0000000E+000         9.9486275E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.3469269E-005     1.7861387E+003     1.6281605E-007
     1.0000000E+000     1.5695233E-005     3.5968172E-015         3.4661827E-010         3.1248373E-011         9.3730989E-009         2.2995830E-007         5.0075017E-008         0.0000000E+000         7.5861402E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     3.0314239E-005     1.7861387E+003     1.8452797E-007
     9.0851758E-001     1.4259276E-005     4.1872049E-015         2.7103161E-010         2.4627356E-011         7.4892836E-009         2.0766662E-007         3.7557935E-008         0.0000000E+000         5.6296833E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.7241721E-005     1.7861387E+003     2.0877246E-007
     8.2540419E-001     1.2954694E-005     4.8687879E-015         2.0225037E-010         1.8514387E-011         5.7053340E-009         1.8011437E-007         2.7001604E-008         0.0000000E+000         4.0110372E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.4179622E-005     1.7861387E+003     2.3579264E-007
     7.4989421E-001     1.1769469E-005     5.6558118E-015         1.4109321E-010         1.3004191E-011         4.0573792E-009         1.4673023E-007         1.8231010E-008         0.0000000E+000         2.6878122E-010         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     2.1044547E-005     1.7861386E+003     2.6584794E-007
